cam_abbr,cam_name,angle,category,url,stored_url
laufenburg_stadt,Laufenburg Gemeinde,230,Cities,https://laufenburg.roundshot.com/stadt/,https://storage2.roundshot.com/60c30270980a92.15853684
baden_turm-baldegg,Wasserturm Baldegg,360,Cities,https://baden.roundshot.com/turm-baldegg/,https://storage.roundshot.com/59a56f8c2d2ae9.90088670
winterthur_altstadt,Altstadt,360,Cities,https://winterthur.roundshot.com/altstadt/,https://storage2.roundshot.com/53aad57c366e91.47175005
winterthur_roterturm,Roter Turm,270,Cities,https://winterthur.roundshot.com/roterturm/,https://storage2.roundshot.com/5ab0d9701bb178.05395983
zuerichtourismus_storchen,Storchen Hotel,360,Cities,https://zuerichtourismus.roundshot.com/storchen/,https://storage2.roundshot.com/601ab50036de74.47853441
msap,Vevey,360,Museums,https://msap.roundshot.com/,https://storage.roundshot.com/53aa96f2f15927.24244761
capannagorda,Capanna Gorda,360,Restaurants,https://capannagorda.roundshot.com/,https://storage.roundshot.com/5bd6e833b58be5.73835412
berghausgampluet,Gamplüt Berghaus,360,Restaurants,https://berghausgampluet.roundshot.com/,https://storage2.roundshot.com/594153c81c4d72.44698687
lecarrefour,Le Carrefour,330,Restaurants,https://lecarrefour.roundshot.com/,https://storage.roundshot.com/53aa7acb4e6e11.56280419
refugesolalex,Refuge Solalex,360,Restaurants,https://refugesolalex.roundshot.com/,https://storage.roundshot.com/61698f656800e1.53065175
wildspitz,Wildspitz,360,Restaurants,https://wildspitz.roundshot.com/,https://storage.roundshot.com/5595515f75aba9.83008277
hafen-faoug,Jack Beck - Faoug,360,Harbors,https://hafen-faoug.roundshot.com/,https://storage2.roundshot.com/571dd53eb2df46.76825106
latourdepeilz,La Tour-de-Peilz,360,Harbors,https://latourdepeilz.roundshot.com/,https://storage2.roundshot.com/577ccac598a9e0.63895671
sgv,Lake Lucerne,335,Harbors,https://sgv.roundshot.com/,https://storage2.roundshot.com/53aa90f797be63.63524585
hafenamrheinspitz,Rheinspitz,120,Harbors,https://hafenamrheinspitz.roundshot.com/,https://storage.roundshot.com/56991377702513.34463660
vengeron,Plage du Vengeron,360,Harbors,https://vengeron.roundshot.com/,https://storage2.roundshot.com/55dc1f2e90dab7.10934373
